"prompt_id","category_code","category","sub_angle","prompt_text","target_competitor","persona","change_note"
"NEUTRAL-017","NEUTRAL","중립","CAT","물에 희석하거나 따로 준비 안 해도 되는 원액 그대로 쓰는 가글 있어?","","","조건 구체화"
"NEUTRAL-018","NEUTRAL","중립","CAT","가글 매일 쓰는 사람 기준, 1L 대용량 사서 오래 쓰는 게 나아 아니면 250ml 작은 거 자주 사는 게 나아?","","","비교 기준+사용 빈도"
"NEUTRAL-019","NEUTRAL","중립","CAT","30대 직장인이라 아침에 양치 후 출근 전에 가글까지 하려는데 뭐 쓰면 돼?","","P1","페르소나+사용 시점"
"NEUTRAL-020","NEUTRAL","중립","CAT","30대인데 집에서 매일 쓰기 부담 없는 1만원대 가글 뭐 있어?","","P1","페르소나+가격대"
"NEUTRAL-021","NEUTRAL","중립","CAT","30대 직장인인데 회의 전 입냄새 신경 쓰여서 가글 사려고. 뭐 골라야 해?","","P1","페르소나+상황"
"NEUTRAL-022","NEUTRAL","중립","CAT","아침 기상 직후 입안 찝찝한 느낌 없애려고 가글 사려는데 뭐 사면 돼?","","","상황 구체화"
"NEUTRAL-023","NEUTRAL","중립","CAT","점심 후 김치찌개 같은 거 먹고 입안 개운하게 하려면 어떤 가글 쓰면 돼?","","P1","상황 구체화"
"NEUTRAL-024","NEUTRAL","중립","CAT","아침에 입냄새 잡는 데 가글이 양치보다 효과 있어? 있으면 어떤 거 사?","","","비교+목적"
"NEUTRAL-025","NEUTRAL","중립","CAT","30대인데 입안 세균 신경 쓰여. 항균 성분 들어간 집에서 쓸 가글 뭐가 좋아?","","P1","페르소나+조건"
"NEUTRAL-026","NEUTRAL","중립","CAT","가글하고 나서 개운한 느낌 3-4시간 이상 오래가는 거 있어?","","","기간 명시"
"NEUTRAL-027","NEUTRAL","중립","CAT","20대 후반인데 구강 위생 챙기려고 가글 시작해. 입문용으로 무난한 거 뭐 사면 돼?","","P1","페르소나+목적"
"NEUTRAL-028","NEUTRAL","중립","CAT","구강관리 잘 안 챙기는 30대 직장인인데 그래도 한 번씩 쓸 만한 가글 있어?","","P1","페르소나 명시"
"NEUTRAL-029","NEUTRAL","중립","CAT","주 2-3회 정도밖에 못 쓸 것 같은데 그래도 효과 보는 사람 있어?","","","사용 빈도 명시"
"NEUTRAL-030","NEUTRAL","중립","CAT","의지 없어도 매일 30초 안에 끝낼 수 있는 간단한 구강관리 제품 있어?","","","조건+시간"
"NEUTRAL-031","NEUTRAL","중립","CAT","30대 직장인인데 귀찮아서 금방 그만둘 것 같아. 쉽게 습관 들일 수 있는 가글 있어?","","P1","페르소나+조건"
"NEUTRAL-032","NEUTRAL","중립","CAT","30대 워킹맘인데 바빠. 1분 안에 끝나는 간단한 구강 관리법으로 가글 쓰면 돼?","","P2","페르소나+시간"
"NEUTRAL-033","NEUTRAL","중립","CAT","자기 전 양치 후에 딱 한 번만 쓰는 루틴으로 괜찮은 가글 있어?","","","사용 시점 구체화"
"NEUTRAL-034","NEUTRAL","중립","CAT","아침 양치 직후에 30초씩 쓰는 식으로 습관 들이기 쉬운 구강청결제 추천해줘","","","사용 방식 구체화"
"NEUTRAL-035","NEUTRAL","중립","CAT","30대 직장인 아침 출근 루틴에 넣기 좋은 가글, 1분 안에 끝나는 거 있어?","","P1","페르소나+상황"
"NEUTRAL-036","NEUTRAL","중립","CAT","가글 사놓고 자꾸 까먹는데 매일 쓰는 습관 들이는 방법이랑 추천 제품 알려줘","","","의도 구체화"
"NEUTRAL-037","NEUTRAL","중립","CAT","구강 점막 예민한 편인데 자극 없는 가글 중에 살 만한 거 있어?","","","조건 구체화"
"NEUTRAL-038","NEUTRAL","중립","CAT","무알코올(논알콜) 가글 중에 입냄새 효과까지 있는 추천할 만한 거 있어?","","","조건+목적"
"NEUTRAL-039","NEUTRAL","중립","CAT","구강 점막 예민해서 자극 없이 매일 쓸 수 있는 가글 뭐 있어?","","","조건 구체화"
"NEUTRAL-040","NEUTRAL","중립","CAT","구내염 자주 나는 예민한 편인데 써도 되는 가글 있어?","","","증상 구체화"
"NEUTRAL-041","NEUTRAL","중립","CAT","리스테린 같은 알코올 자극 싫은데, 무알코올로 효과 있는 가글 있어?","","","비교 기준 명시"
"NEUTRAL-042","NEUTRAL","중립","CAT","천연 성분 위주 순한 가글 중에 입냄새 효과도 있는 거 있어?","","","조건+목적"
"NEUTRAL-043","NEUTRAL","중립","CAT","6세 아이 있는 집에서 부모랑 같이 써도 되는 무알코올 가글 있어?","","P2","페르소나+조건"
"NEUTRAL-044","NEUTRAL","중립","CAT","30대인데 만성 입냄새 때문에 가글 시작하려고. 효과 있는 거 맞아?","","P1","페르소나+증상"
"NEUTRAL-045","NEUTRAL","중립","CAT","점심 김치찌개 먹고 나서 오후 회의 전에 입냄새 잡으려면 가글 쓰는 게 맞아?","","P1","상황 구체화"
"NEUTRAL-046","NEUTRAL","중립","CAT","구강청결제 매일 쓰면 입냄새 진짜 잡혀? 한 달 정도 쓰면 차이 나?","","","기간 명시"
"NEUTRAL-047","NEUTRAL","중립","CAT","30대 직장인인데 치실이랑 가글 같이 쓰는 게 좋아? 가글만 써도 돼?","","P1","페르소나 명시"
"NEUTRAL-048","NEUTRAL","중립","CAT","양치 2회만 하는데 입냄새가 남아. 가글 추가하면 달라질까?","","","조건 구체화"
"NEUTRAL-049","NEUTRAL","중립","CAT","30대인데 가글 처음이야. 바쁜 아침에 양치 대신 가글만 써도 돼?","","P1","페르소나+상황"
"NEUTRAL-050","NEUTRAL","중립","CAT","60대 부모님 구강 관리용으로 가글 사드리려는데 자극 약한 거 뭐 사면 돼?","","P3","페르소나+조건"
"NEUTRAL-051","NEUTRAL","중립","SYM","아침에 일어나면 입안이 퀴퀴한 30대인데 양치 말고 집에서 바로 해볼 수 있는 게 있어?","","P1","페르소나 명시"
"NEUTRAL-052","NEUTRAL","중립","SYM","30대 직장인인데 점심 먹고 나서도 오후 내내 입냄새가 나. 집에서 뭘 해줄 수 있어?","","P1","페르소나+상황"
"NEUTRAL-053","NEUTRAL","중립","SYM","60대 아버지 입냄새가 심한데 집에서 도와드릴 방법 뭐가 있어?","","P3","페르소나 명시"
"NEUTRAL-054","NEUTRAL","중립","SYM","60대 아빠가 밥 먹고 나면 입이 텁텁하다고 하시는데 집에서 해볼 만한 게 뭐 있어?","","P3","페르소나 명시"
"NEUTRAL-055","NEUTRAL","중립","SYM","30대인데 마늘이나 매운 음식 먹고 나서 입안에 냄새가 오래 가. 집에서 없애볼 방법 있어?","","P1","페르소나+상황"
"NEUTRAL-056","NEUTRAL","중립","SYM","60대 어머니가 잇몸이 자꾸 찜찜하다고 하셔. 집에서 도움 되는 가글 같은 거 있어?","","P3","페르소나+카테고리"
"NEUTRAL-057","NEUTRAL","중립","SYM","아침마다 가족이 입냄새 난다고 얘기해. 30대인데 집에서 할 수 있는 거 있어?","","P1","페르소나 명시"
"NEUTRAL-058","NEUTRAL","중립","SYM","70대 부모님이 손 떨리셔서 양치 잘 못 하셔. 집에서 간단하게 도와드릴 가글 같은 거 있어?","","P4","페르소나+상황"
"NEUTRAL-059","NEUTRAL","중립","ALT","30대 직장인인데 양치만 하는 사람이 가글까지 추가하면 입냄새 체감 차이 있어?","","P1","페르소나+목적"
"NEUTRAL-060","NEUTRAL","중립","ALT","하루 3번 양치 열심히 하는 편인데도 가글까지 쓰는 게 의미 있어?","","","조건 구체화"
"NEUTRAL-061","NEUTRAL","중립","ALT","입냄새 별로 심하지 않은 30대도 굳이 매일 가글 쓸 필요 있어?","","P1","페르소나+조건"
"NEUTRAL-062","NEUTRAL","중립","ALT","귀찮은 거 싫어하는 30대 자취생한테 일반 가글이랑 분말형 같은 것 중에 뭐가 맞아?","","P1","페르소나+비교 대상"
"NEUTRAL-063","NEUTRAL","중립","ALT","6개월마다 치과 정기검진 받는 사람은 가글 따로 안 써도 돼?","","","조건 구체화"
"NEUTRAL-064","NEUTRAL","중립","ALT","아침에만 양치하는 30대 직장인인데 가글 추가하면 입냄새 효과 차이 있어?","","P1","페르소나+조건"
"NEUTRAL-065","NEUTRAL","중립","ALT","구강 관리 아예 처음 시작하는 20대도 양치+가글 같이 시작해도 돼?","","P1","페르소나 명시"
"NEUTRAL-066","NEUTRAL","중립","ALT","30대인데 만성 입냄새로 치과 갈지 1만원대 가글로 먼저 해결할지 고민","","P1","페르소나+가격대"
"NEUTRAL-067","NEUTRAL","중립","ALT","입냄새+혀백태 케어 목적이면 5천원짜리 혀 클리너 살까 1만원대 가글 살까?","","","비교 기준+가격"
"NEUTRAL-068","NEUTRAL","중립","ALT","연 2회 치과 스케일링 더 자주 받을지 매일 집에서 가글 쓸지 효과+비용 비교해줘","","","비교 기준+빈도"
"NEUTRAL-069","NEUTRAL","중립","ALT","입냄새+치간 케어 둘 다 노릴 거면 워터픽 같은 물치실 살까 가글 살까?","","","비교 기준+목적"
"NEUTRAL-070","NEUTRAL","중립","ALT","치과에서 6개월마다 관리받는 거랑 매일 가글 쓰는 거 입냄새 케어 효과 차이 커?","","","비교 기준+빈도"
"NEUTRAL-071","NEUTRAL","중립","ALT","구강 유산균 매일 먹을지 가글 쓸지 입냄새에 뭐가 더 효과 있어?","","","비교 기준 명시"
"NEUTRAL-072","NEUTRAL","중립","ALT","20만원짜리 전동칫솔 살 돈으로 그냥 가글+치실 세트 사는 게 가성비 나아?","","","가격 명시"
"NEUTRAL-073","NEUTRAL","중립","ALT","30대 직장인인데 입냄새로 치과 상담 받을지 가글 1만원대로 먼저 해볼지 고민","","P1","페르소나+가격"
"NEUTRAL-074","NEUTRAL","중립","ALT","매일 가글만 쓰는 거랑 가글+혀 스크래퍼 같이 쓰는 거 중에 입냄새 잡는 데 차이 커?","","","비교 기준 명시"
"H2H-001","H2H","직접 비교","","30대 직장인 입냄새 케어용으로 프로폴린스랑 어썸쿨 프로폴리스 가글 600ml 중에 뭐가 더 효과 있어?","어썸쿨 프로폴리스 가글 600ml","P1","페르소나+목적"
"H2H-002","H2H","직접 비교","","어썸쿨 프로폴리스 가글 600ml 1년 쓰다가 프로폴린스으로 바꿔볼 가치 있을까?","어썸쿨 프로폴리스 가글 600ml","","사용 기간 명시"
"H2H-003","H2H","직접 비교","","프로폴린스랑 어썸쿨 프로폴리스 가글 600ml 6개월 이상 둘 다 써본 사람 기준에서 뭐가 나아?","어썸쿨 프로폴리스 가글 600ml","","사용 기간 명시"
"H2H-004","H2H","직접 비교","","치과 스케일링 가기 전날 쓰려면 프로폴린스이랑 어썸쿨 프로폴리스 가글 600ml 중 어느 쪽이 나아?","어썸쿨 프로폴리스 가글 600ml","","상황 구체화"
"H2H-005","H2H","직접 비교","","프로폴린스랑 어썸쿨 프로폴리스 가글 600ml, 입냄새+잇몸 케어 효과로 솔직히 차이 있어?","어썸쿨 프로폴리스 가글 600ml","","비교 차원 명시"
"H2H-006","H2H","직접 비교","","20대 후반 가글 처음 써보는 입문자인데 프로폴린스이랑 어썸쿨 프로폴리스 가글 600ml 중 뭐부터?","어썸쿨 프로폴리스 가글 600ml","P1","페르소나 명시"
"H2H-007","H2H","직접 비교","","프로폴린스랑 어썸쿨 프로폴리스 가글 600ml 후기 중 업체 후기 빼고 신뢰할 만한 쪽은?","어썸쿨 프로폴리스 가글 600ml","","조건 명시"
"H2H-008","H2H","직접 비교","","임신 중인데 프로폴린스이랑 어썸쿨 프로폴리스 가글 600ml 중에 뭐가 더 안전한 편이야?","어썸쿨 프로폴리스 가글 600ml","P4","페르소나 구체화"
"H2H-009","H2H","직접 비교","","30대 직장인이 매일 아침 꾸준히 쓰기엔 프로폴린스이랑 어썸쿨 프로폴리스 가글 600ml 중 어떤 게 덜 귀찮아?","어썸쿨 프로폴리스 가글 600ml","P1","페르소나+사용 시점"
"H2H-010","H2H","직접 비교","","ml당 가격 가성비만 따지면 프로폴린스이랑 어썸쿨 프로폴리스 가글 600ml 중에 어디가 손해 안 봐?","어썸쿨 프로폴리스 가글 600ml","","비교 기준 명시"
"H2H-011","H2H","직접 비교","","30대 직장인 입냄새 케어용으로 프로폴린스랑 리스테린 둘 중에 뭐 살지 모르겠어","리스테린","P1","페르소나+목적"
"H2H-012","H2H","직접 비교","","구강청결제 리스테린 1년 쓰다가 자극 강해서 프로폴린스로 갈아타볼까 고민 중인데 어때?","리스테린","","사용 기간+이유 | v2.1: +카테고리"
"H2H-013","H2H","직접 비교","","30대 직장인이 매일 아침 1년 이상 꾸준히 쓰기엔 가글 프로폴린스랑 리스테린 중 어디가 편해?","리스테린","P1","페르소나+기간 | v2.1: +카테고리"
"H2H-014","H2H","직접 비교","","가글 ml당 가격 따지면 프로폴린스랑 리스테린 중에 가성비 어느 쪽이 더 나아?","리스테린","","비교 기준 명시 | v2.1: +카테고리"
"H2H-015","H2H","직접 비교","","20대 후반 구강 관리 처음 시작하는 사람한테 프로폴린스랑 리스테린 중 뭐가 나을까?","리스테린","P1","페르소나 명시"
"H2H-016","H2H","직접 비교","","30대 만성 입냄새 신경 쓰이는 사람한테 프로폴린스랑 리스테린 중 더 맞는 건 어느 쪽?","리스테린","P1","페르소나+증상"
"H2H-017","H2H","직접 비교","","6세 아이 있는 집에서 가족이 같이 쓰기엔 가글 프로폴린스랑 리스테린 중 뭐가 더 나아?","리스테린","P2","페르소나+상황 | v2.1: +카테고리"
"H2H-018","H2H","직접 비교","","구강 점막 예민한 편인데 프로폴린스랑 리스테린 중에 자극 덜한 쪽 뭐야?","리스테린","","조건 구체화"
"H2H-019","H2H","직접 비교","","구강청결제 프로폴린스랑 리스테린 중에 6개월 이상 사용 후기 신뢰할 수 있는 쪽 어디야?","리스테린","","후기 기간 명시 | v2.1: +카테고리"
"H2H-020","H2H","직접 비교","","임신 중인데 가글 프로폴린스랑 리스테린 중에 어느 게 더 안전하다고 평가받아?","리스테린","P4","페르소나 명시 | v2.1: +카테고리"
"H2H-021","H2H","직접 비교","","구강청결제 프로폴린스랑 테라브레스 6개월 이상 둘 다 써본 사람 입장에서 뭐가 더 나아?","테라브레스","","사용 기간 명시 | v2.1: +카테고리"
"H2H-022","H2H","직접 비교","","테라브레스 1년 쓰다가 프로폴린스로 갈아타면 입냄새 케어 체감 차이 있을까?","테라브레스","","사용 기간+목적"
"H2H-023","H2H","직접 비교","","30대 만성 구취 심한 편인데 프로폴린스이랑 테라브레스 중 뭐가 더 확실해?","테라브레스","P1","페르소나+증상"
"H2H-024","H2H","직접 비교","","월 사용 비용 따져서 가글 프로폴린스이랑 테라브레스 중에 1년 이상 장기간 쓰기 부담 없는 쪽 어디야?","테라브레스","","비교 기준+기간 | v2.1: +카테고리"
"H2H-025","H2H","직접 비교","","구강청결제 테라브레스 3개월 썼는데 효과 별로일 때 프로폴린스으로 넘어가는 게 맞아?","테라브레스","","사용 기간+상황 | v2.1: +카테고리"
"H2H-026","H2H","직접 비교","","30대 직장인이 아침 출근 전 1분 루틴에 넣을 거면 가글 프로폴린스이랑 테라브레스 중 어느 쪽이 덜 귀찮아?","테라브레스","P1","페르소나+상황 | v2.1: +카테고리"
"H2H-027","H2H","직접 비교","","20대 후반 처음 구강청결제 사는 건데 프로폴린스이랑 테라브레스 중 실패 확률 낮은 쪽?","테라브레스","P1","페르소나 명시"
"H2H-028","H2H","직접 비교","","가글 ml당 가격 가성비 따지면 프로폴린스이랑 테라브레스 중 솔직히 어느 쪽?","테라브레스","","비교 기준 명시 | v2.1: +카테고리"
"H2H-029","H2H","직접 비교","","30대 직장인이 점심 후 사무실에서 쓰기엔 가글 프로폴린스이랑 테라브레스 중 어디가 현실적?","테라브레스","P1","페르소나+상황 | v2.1: +카테고리"
"H2H-030","H2H","직접 비교","","입냄새 효과 6개월 이상 사용 후기 기준으로 프로폴린스이랑 테라브레스 중 믿을 만한 쪽?","테라브레스","","비교 기준+기간"
"COMP_ONLY-001","COMP_ONLY","경쟁사 대안","","어썸쿨 프로폴리스 가글 600ml 말고 비슷한 프로폴리스 성분 가글 뭐 있어?","어썸쿨 프로폴리스 가글 600ml","","카테고리 명시"
"COMP_ONLY-002","COMP_ONLY","경쟁사 대안","","어썸쿨 프로폴리스 가글 600ml 대신 1만원대에서 살 만한 프로폴리스 가글 뭐야?","어썸쿨 프로폴리스 가글 600ml","","가격대 명시"
"COMP_ONLY-003","COMP_ONLY","경쟁사 대안","","어썸쿨 프로폴리스 가글 600ml 1년 쓰다가 다른 프로폴리스 가글 써볼까 하는데 뭐 괜찮아?","어썸쿨 프로폴리스 가글 600ml","","사용 기간+카테고리"
"COMP_ONLY-004","COMP_ONLY","경쟁사 대안","","어썸쿨 프로폴리스 가글 600ml 리뷰 보다 고민되는데 동급 가격대 대안 뭐 있지?","어썸쿨 프로폴리스 가글 600ml","","비교 기준 명시"
"COMP_ONLY-005","COMP_ONLY","경쟁사 대안","","어썸쿨 프로폴리스 가글 600ml 말고 30대 직장인이 매일 쓰기 좋은 프로폴리스 가글 뭐 있어?","어썸쿨 프로폴리스 가글 600ml","P1","페르소나+카테고리"
"COMP_ONLY-006","COMP_ONLY","경쟁사 대안","","어썸쿨 프로폴리스 가글 600ml 사려다 1만원대 다른 프로폴리스 가글도 볼까 하는데 뭐 괜찮아?","어썸쿨 프로폴리스 가글 600ml","","가격+카테고리"
"COMP_ONLY-007","COMP_ONLY","경쟁사 대안","","어썸쿨 프로폴리스 가글 600ml 말고 입냄새 효과 좋다는 프로폴리스 가글 뭐 써봤어?","어썸쿨 프로폴리스 가글 600ml","","목적+카테고리"
"COMP_ONLY-008","COMP_ONLY","경쟁사 대안","","어썸쿨 프로폴리스 가글 600ml 써봤는데 동급 다른 프로폴리스 가글이랑 비교하고 싶어","어썸쿨 프로폴리스 가글 600ml","","카테고리 명시"
"COMP_ONLY-009","COMP_ONLY","경쟁사 대안","","어썸쿨 프로폴리스 가글 600ml 단종됐다는 얘기 봤는데 동급 대체품 뭐 있어?","어썸쿨 프로폴리스 가글 600ml","","상황 구체화"
"COMP_ONLY-010","COMP_ONLY","경쟁사 대안","","어썸쿨 프로폴리스 가글 600ml 말고 입안 개운한 느낌 3시간 이상 가는 프로폴리스 가글 또 뭐 있지?","어썸쿨 프로폴리스 가글 600ml","","조건+카테고리"
"COMP_ONLY-011","COMP_ONLY","경쟁사 대안","","리스테린 말고 30대 직장인이 매일 쓸 만한 구강청결제 뭐 있어?","리스테린","P1","페르소나 명시"
"COMP_ONLY-012","COMP_ONLY","경쟁사 대안","","리스테린 대신 1만원대 살 만한 구강청결제 뭐야?","리스테린","","가격대 명시"
"COMP_ONLY-013","COMP_ONLY","경쟁사 대안","","구강청결제 리스테린 2년 이상 썼는데 자극 때문에 다른 거 써볼까 해. 무알코올 가글로 추천해줘","리스테린","","사용 기간+조건 | v2.1: +카테고리"
"COMP_ONLY-014","COMP_ONLY","경쟁사 대안","","리스테린 말고 30대 입냄새 잡는 효과 있는 가글 뭐 있어?","리스테린","P1","페르소나+목적"
"COMP_ONLY-015","COMP_ONLY","경쟁사 대안","","리스테린 알코올 자극 강해서 무알코올 가글로 갈아타려는데 뭐 써봤어?","리스테린","","조건 구체화 | v2.1: +카테고리"
"COMP_ONLY-016","COMP_ONLY","경쟁사 대안","","리스테린이랑 비슷한 효과 국내 가글 제품으로는 뭐가 있어?","리스테린","","조건 명시"
"COMP_ONLY-017","COMP_ONLY","경쟁사 대안","","리스테린 알코올 들어 있어서 대신 쓸 무알코올 가글 있어?","리스테린","","조건 구체화"
"COMP_ONLY-018","COMP_ONLY","경쟁사 대안","","리스테린이랑 입냄새 효과는 비슷한데 알코올 자극 덜한 가글 있어?","리스테린","","비교 차원 명시"
"COMP_ONLY-019","COMP_ONLY","경쟁사 대안","","리스테린 사려다가 동급 가격대 다른 가글도 볼까 하는데 뭐 괜찮아?","리스테린","","비교 기준 명시"
"COMP_ONLY-020","COMP_ONLY","경쟁사 대안","","리스테린 말고 30대 자취생이 집에서 매일 쓰기 좋은 가글 뭐야?","리스테린","P1","페르소나 명시"
"COMP_ONLY-021","COMP_ONLY","경쟁사 대안","","테라브레스 말고 비슷한 입냄새 케어 가글 또 뭐 있어?","테라브레스","","목적 명시"
"COMP_ONLY-022","COMP_ONLY","경쟁사 대안","","구강청결제 테라브레스 1년 이상 쓰다가 질렸는데 동급 가글 다른 거 뭐가 좋아?","테라브레스","","사용 기간+조건 | v2.1: +카테고리"
"COMP_ONLY-023","COMP_ONLY","경쟁사 대안","","테라브레스 말고 30대 직장인이 집에서 매일 쓰기 편한 가글 뭐 있어?","테라브레스","P1","페르소나 명시"
"COMP_ONLY-024","COMP_ONLY","경쟁사 대안","","테라브레스 사려다가 동급 가격대 다른 입냄새 케어 가글도 볼까 하는데 뭐 괜찮아?","테라브레스","","비교 기준 명시"
"COMP_ONLY-025","COMP_ONLY","경쟁사 대안","","테라브레스 직구 안 하고 한국 브랜드 입냄새 케어 가글로 쓸 만한 거 있어?","테라브레스","","조건 명시"
"COMP_ONLY-026","COMP_ONLY","경쟁사 대안","","테라브레스랑 입냄새 효과 비슷한데 ml당 가격 더 저렴한 거 없어?","테라브레스","","비교 차원 명시"
"COMP_ONLY-027","COMP_ONLY","경쟁사 대안","","테라브레스 후기 보다 고민되는데 동급 입냄새 케어 가글 다른 선택지 뭐 있지?","테라브레스","","비교 기준 명시"
"COMP_ONLY-028","COMP_ONLY","경쟁사 대안","","테라브레스 말고 30대 직장인이 입냄새 케어용으로 써본 가글 또 뭐 있어?","테라브레스","P1","페르소나+목적"
"COMP_ONLY-029","COMP_ONLY","경쟁사 대안","","테라브레스 1년 이상 썼는데 슬슬 다른 거 써볼까 해. 입냄새 효과 비슷한 거 있어?","테라브레스","","사용 기간+조건"
"COMP_ONLY-030","COMP_ONLY","경쟁사 대안","","테라브레스 직구 말고 쿠팡에서 바로 살 수 있는 비슷한 입냄새 케어 가글 뭐야?","테라브레스","","구매 채널+카테고리"
"BRAND_ONLY-001","BRAND_ONLY","브랜드 지명","","프로폴린스 입냄새 케어 진짜 효과 있어 아니면 마케팅이야? 6개월 이상 사용자 반응 기준","","","기간+조건"
"BRAND_ONLY-002","BRAND_ONLY","브랜드 지명","","30대 직장인 입냄새 케어용으로 프로폴린스 한 번 써보려는데 살 만한 제품이야?","","P1","페르소나+목적"
"BRAND_ONLY-003","BRAND_ONLY","브랜드 지명","","프로폴린스 후기 중에 업체 후기 빼고 6개월 이상 사용자 후기 어디서 볼 수 있어?","","","조건 구체화"
"BRAND_ONLY-004","BRAND_ONLY","브랜드 지명","","프로폴린스 어떤 연령대, 어떤 목적의 사람들이 가장 만족하는 편이야?","","","구체화"
"BRAND_ONLY-005","BRAND_ONLY","브랜드 지명","","30대 만성 입냄새 심한 사람한테 프로폴린스 진짜 도움 돼?","","P1","페르소나+증상"
"BRAND_ONLY-006","BRAND_ONLY","브랜드 지명","","프로폴린스 매일 한 달 정도 꾸준히 쓰면 입냄새 체감 달라지긴 해?","","","기간+빈도"
"BRAND_ONLY-007","BRAND_ONLY","브랜드 지명","","프로폴린스 어떤 연령대 어떤 사용 패턴 사람한테 잘 맞아?","","","구체화"
"BRAND_ONLY-008","BRAND_ONLY","브랜드 지명","","프로폴린스 가글 처음 써보는 20-30대 입문자도 무난하게 시작할 만해?","","P1","페르소나 명시"
"BRAND_ONLY-009","BRAND_ONLY","브랜드 지명","","프로폴린스 쿠팡이나 네이버 같은 오픈마켓에서 사도 정품 보증돼? 공식몰이랑 차이 있어?","","","구체화"
"BRAND_ONLY-010","BRAND_ONLY","브랜드 지명","","프로폴린스 지금 사도 괜찮은 시기야? 신제품 출시 임박했거나 그런 건 없어?","","","의도 구체화"
"BRAND_ONLY-011","BRAND_ONLY","브랜드 지명","","프로폴린스 구매 전에 성분, 자극도, 용량 중에 뭘 가장 먼저 확인해야 해?","","","구체화"
"BRAND_ONLY-012","BRAND_ONLY","브랜드 지명","","프로폴린스 1년 이상 재구매하는 사람들은 어떤 효과 때문에 계속 쓰는 거야?","","","기간+의도"
"BRAND_ONLY-013","BRAND_ONLY","브랜드 지명","","프로폴린스 안 맞는 사람도 있어? 어떤 체질이나 어떤 경우에 별로라는 후기 나와?","","","구체화"
"BRAND_ONLY-014","BRAND_ONLY","브랜드 지명","","프로폴린스 한 통(약 1개월분) 다 쓰면 입냄새 효과 체감할 수 있어?","","","기간+목적"
"BRAND_ONLY-015","BRAND_ONLY","브랜드 지명","","프로폴린스 1만원 후반대 가격인데 ml당 가격으로 따지면 가성비 어때?","","","비교 기준 명시"
