"prompt_id","category_code","category","subcategory","prompt_text","target_competitor","persona","change_note"
"NEUTRAL-049","NEUTRAL","중립","SYM","30대 사무직인데 앉아만 있어도 골반저근 단련할 수 있는 방법이 있을까?","","P1","페르소나 명시"
"NEUTRAL-050","NEUTRAL","중립","SYM","30대 후반인데 엉덩이 처짐이 신경 쓰여. 집에서 꾸준히 할 수 있는 게 뭐가 있을까?","","P1","페르소나 명시"
"NEUTRAL-051","NEUTRAL","중립","SYM","50대인데 요의를 자주 느껴서 일상이 불편해. 집에서 개선해볼 수 있는 방법이 있어?","","P3","페르소나 명시"
"NEUTRAL-052","NEUTRAL","중립","SYM","60대 어머니 나이 들면서 골반 근육이 약해지셨어. 뭘 해야 도움이 될까?","","P3","페르소나 명시"
"NEUTRAL-053","NEUTRAL","중립","ALT","40대 산후 케어 목적인데, 3개월 안에 효과 보고 싶어. 혼자 케겔하기 vs 기기 사기 뭐가 나아?","","P2","비교 기준+페르소나"
"NEUTRAL-054","NEUTRAL","중립","ALT","50대인데 가벼운 요실금 있어. 비뇨기과 갈지 집에서 EMS 기기 살지 어떻게 결정해?","","P3","비교 기준+증상 정도"
"NEUTRAL-055","NEUTRAL","중립","ALT","케겔 운동 꾸준히 못하는 편인데, 무료 앱으로 알람 받기 vs 50만원짜리 EMS 기기 사기 효과 차이가 클까?","","","비교 기준+가격 명시"
"NEUTRAL-056","NEUTRAL","중립","ALT","월 30만원 예산에서 골반저근 PT 받기 vs 한 번에 EMS 기기 사기 어느 게 가성비 좋아?","","","비교 기준+예산"
"NEUTRAL-057","NEUTRAL","중립","ALT","40대 산후 요실금 초기인데, 비뇨기과 시술 받을지 집에서 EMS 케겔 의자 쓸지 비용+효과 비교해줘","","P2","비교 기준+페르소나"
"NEUTRAL-058","NEUTRAL","중립","ALT","30대 직장인인데 케겔 운동 꾸준히 못해서 EMS 기기 사려고. 3개월 안에 효과 볼 수 있을까?","","P1","페르소나+기간 명시"
"NEUTRAL-059","NEUTRAL","중립","ALT","30대 여성인데 엉덩이 탄력이랑 골반저근 둘 다 챙기려면 헬스 PT vs 집에서 EMS 기기 뭐가 효율적이야?","","P1","비교 기준+페르소나"
"NEUTRAL-060","NEUTRAL","중립","ALT","40대 직장인 엄마인데 자기 전에 10분 짬내서 할 수 있는 골반저근 케어 방법이 있을까?","","P2","페르소나+시간 명시"
"NEUTRAL-061","NEUTRAL","중립","PRC","골반저근 EMS 의자 10만원대에 괜찮은 거 있어? 입문용으로 사려고","","","목적 명시"
"NEUTRAL-062","NEUTRAL","중립","PRC","케겔 머신 5만원 이하로 입문하고 싶은데 뭐가 있어? 효과 너무 안 좋은 건 별로야","","","조건 명시"
"NEUTRAL-063","NEUTRAL","중립","PRC","엉덩이 탄력 EMS 기기 예산 20만원 이하인데 가성비 좋은 거 추천해줄래?","","","예산 구체화"
"NEUTRAL-064","NEUTRAL","중립","PRC","40대 산후 케어용으로 요실금 EMS 기기 보고 있어. 50만원 이상 비싼 거랑 10만원대 저렴한 거 효과 차이 커?","","P2","비교 기준+페르소나"
"NEUTRAL-065","NEUTRAL","중립","PRC","쿠팡에서 EMS 케겔 기계 3만원대 초저가 상품 봤는데, 30만원대 제품이랑 효과 차이가 그만큼 나?","","","비교 기준 명시"
"NEUTRAL-066","NEUTRAL","중립","USE","30대 직장인인데 회사 가기 전 아침 20분에 쓸 수 있는 케겔 홈트레이닝 기기 있어?","","P1","페르소나+시간 명시"
"NEUTRAL-067","NEUTRAL","중립","USE","40대 워킹맘인데 퇴근 후 저녁에 TV 보면서 앉아만 있어도 골반저근 운동되는 거 없을까?","","P2","페르소나+상황"
"NEUTRAL-068","NEUTRAL","중립","USE","집에 놔두고 매일 30분씩 꾸준히 쓸 수 있는 케겔 EMS 의자 뭐가 좋아?","","","사용 시간 명시"
"NEUTRAL-069","NEUTRAL","중립","USE","30대 사무직인데 사무실 책상 의자 위에 올려두고 일하면서 쓸 수 있는 골반저근 기기 있어?","","P1","페르소나+사용 방식"
"NEUTRAL-070","NEUTRAL","중립","USE","40대 주부인데 주말에 집에서 1-2시간 편하게 쓸 수 있는 골반 EMS 운동기 찾고 있어","","P2","페르소나+시간"
"NEUTRAL-071","NEUTRAL","중립","DEC","40대 산후 5년차, 가벼운 요실금, 예산 50만원 이내. 골반저근 EMS 기기 단 하나만 골라줘","","P2","페르소나+제약+목적"
"NEUTRAL-072","NEUTRAL","중립","DEC","50대 직장인 여성, 기침할 때 새는 정도 가벼움, 예산 30만원. 요실금 홈 케어 기기 하나만 추천해줘","","P3","페르소나+제약+목적"
"NEUTRAL-073","NEUTRAL","중립","DEC","30대 여성, 엉덩이 처짐+골반저근 약화 둘 다 신경 쓰임, 예산 40만원. EMS 기기 딱 하나만 사야 한다면?","","P1","페르소나+이중 목적+예산"
"NEUTRAL-074","NEUTRAL","중립","DEC","20만원대에서 EMS 케겔 운동기 가성비 최고인 거 단 하나만 알려줘. 30대 직장인 여성용","","P1","예산+페르소나"
"NEUTRAL-075","NEUTRAL","중립","DEC","60대 어머니 선물용으로 앉기만 해도 되는 골반 운동 기기, 50만원 이내로 딱 하나만 골라줘","","P3","페르소나+상황+예산"
"H2H-001","H2H","직접 비교","","바디닥터K이랑 이지케이, 둘 다 골반저근 EMS 케겔 운동기인데 40대 산후 케어 목적이면 뭐가 더 편하게 쓸 수 있어?","이지케이 (Easy-K) 요실금치료기","P2","목적 명시 | v2.1: +카테고리"
"H2H-002","H2H","직접 비교","","이지케이 요실금치료기 1년 쓰다가 바디닥터K으로 바꾸려는데, 적응 어렵지 않을까?","이지케이 (Easy-K) 요실금치료기","","사용 기간+우려 명시"
"H2H-003","H2H","직접 비교","","케겔 EMS 의자 처음 사는 초보자가 사기엔 바디닥터K이랑 Easy-K 중에 어디가 낫지?","이지케이 (Easy-K) 요실금치료기","","페르소나 명시"
"H2H-004","H2H","직접 비교","","40대 가벼운 요실금 관리용으로 바디닥터K이랑 이지케이 중에 어디가 더 효과 빨리 나와?","이지케이 (Easy-K) 요실금치료기","P2","증상+페르소나"
"H2H-005","H2H","직접 비교","","바쁜 워킹맘 기준으로 골반저근 EMS 케겔 운동기 바디닥터K이랑 이지케이 중에 매일 꾸준히 쓰기 편한 쪽이 뭐야?","이지케이 (Easy-K) 요실금치료기","P2","페르소나 명시 | v2.1: +카테고리"
"H2H-006","H2H","직접 비교","","30대 1인 가구 여성이 집에서 골반저근 EMS 케겔 운동기 혼자 쓰려면 바디닥터K이랑 Easy-K 중에 뭐가 덜 번거로워?","이지케이 (Easy-K) 요실금치료기","P1","페르소나 명시 | v2.1: +카테고리"
"H2H-007","H2H","직접 비교","","골반저근 EMS 케겔 운동기 바디닥터K이랑 이지케이 가격대 비교했을 때 가성비가 더 좋은 쪽이 뭐야?","이지케이 (Easy-K) 요실금치료기","","비교 기준 명시 | v2.1: +카테고리"
"H2H-008","H2H","직접 비교","","둘째 출산 6개월 산후 관리 목적이면 이지케이 요실금치료기랑 바디닥터K 중 어디가 맞아?","이지케이 (Easy-K) 요실금치료기","P2","페르소나+기간"
"H2H-009","H2H","직접 비교","","골반저근 EMS 케겔 운동기 바디닥터K이랑 Easy-K 중에 사용 6개월 이상 후기가 더 좋은 쪽이 어디야?","이지케이 (Easy-K) 요실금치료기","","후기 기간 명시 | v2.1: +카테고리"
"H2H-010","H2H","직접 비교","","골반저근 EMS 케겔 운동기 이지케이 6개월 이상 써본 사람이 바디닥터K으로 갈아탔다면 뭐가 더 좋다고 해?","이지케이 (Easy-K) 요실금치료기","","사용 기간 명시 | v2.1: +카테고리"
"H2H-011","H2H","직접 비교","","40대 산후 5년차, 예산 50만원 이내로 골반저근 EMS 케겔 운동기 사려는데 바디닥터K이랑 이지케이 중 뭐 살지 진짜 고민 중이야","이지케이 (Easy-K) 요실금치료기","P2","페르소나+예산 | v2.1: +카테고리"
"H2H-012","H2H","직접 비교","","60대 어머니 선물용으로 골반저근 EMS 케겔 운동기 사려는데 Easy-K이랑 바디닥터K 중에 어디가 사용이 간편할까?","이지케이 (Easy-K) 요실금치료기","P3","페르소나+상황 | v2.1: +카테고리"
"H2H-013","H2H","직접 비교","","민감성 피부인데 바디닥터K이랑 이지케이 중에 EMS 자극이 덜한 쪽이 뭐야?","이지케이 (Easy-K) 요실금치료기","","조건 명시"
"H2H-014","H2H","직접 비교","","이지케이 요실금치료기랑 바디닥터K 중 작은 체구 여성한테 뭐가 더 맞을까?","이지케이 (Easy-K) 요실금치료기","","오타 수정+조건 명시"
"H2H-015","H2H","직접 비교","","골반저근 EMS 케겔 운동기 바디닥터K이랑 Easy-K 중에 3년 이상 오래 쓸 수 있는 내구성 좋은 쪽이 어디야?","이지케이 (Easy-K) 요실금치료기","","비교 기준+기간 | v2.1: +카테고리"
"H2H-016","H2H","직접 비교","","40대 산후 5년차인데 바디닥터K이랑 닥터케이 저주파 EMS 자동 케겔운동기 중에 뭐가 효과 빨리 나타나?","닥터케이 저주파 EMS 자동 케겔운동기","P2","페르소나 명시"
"H2H-017","H2H","직접 비교","","케겔 EMS 의자 처음 써보는 초보자가 시작하기엔 바디닥터K이랑 닥터케이 중에 어디가 덜 복잡해?","닥터케이 저주파 EMS 자동 케겔운동기","","페르소나 명시"
"H2H-018","H2H","직접 비교","","바디닥터K이랑 닥터케이 저주파 EMS 자동 케겔운동기 6개월 이상 둘 다 써본 사람 의견이 궁금해","닥터케이 저주파 EMS 자동 케겔운동기","","사용 기간 명시"
"H2H-019","H2H","직접 비교","","30대 재택근무자야. 골반저근 EMS 케겔 운동기 사려는데 집에서 하루 5시간 이상 쓰려고 해. 바디닥터K이랑 닥터케이 중 뭐가 더 편해?","닥터케이 저주파 EMS 자동 케겔운동기","P1","페르소나+사용 시간 | v2.1: +카테고리"
"H2H-020","H2H","직접 비교","","골반저근 EMS 케겔 운동기 닥터케이 1년 쓰다가 바디닥터K으로 바꾸면 적응이 잘될까?","닥터케이 저주파 EMS 자동 케겔운동기","","사용 기간 명시 | v2.1: +카테고리"
"H2H-021","H2H","직접 비교","","둘째 출산 8개월 산후 관리 목적이면 바디닥터K이랑 닥터케이 저주파 EMS 자동 케겔운동기 중 뭐가 낫대?","닥터케이 저주파 EMS 자동 케겔운동기","P2","페르소나+기간"
"H2H-022","H2H","직접 비교","","40대인데 바디닥터K이랑 닥터케이 저주파 EMS 자동 케겔운동기 가격대 비슷해. 5년 후에 후회 안 하려면 뭐 사야 할까?","닥터케이 저주파 EMS 자동 케겔운동기","P2","페르소나+기간"
"H2H-023","H2H","직접 비교","","민감성 피부에 알러지 있는 편인데 골반저근 EMS 케겔 운동기 바디닥터K이랑 닥터케이 중에 어디가 자극이 덜해?","닥터케이 저주파 EMS 자동 케겔운동기","","조건 구체화 | v2.1: +카테고리"
"H2H-024","H2H","직접 비교","","의지박약인 사람 기준으로 바디닥터K이랑 닥터케이 저주파 EMS 자동 케겔운동기 중에 매일 꾸준히 쓰기 좋은 쪽은?","닥터케이 저주파 EMS 자동 케겔운동기","","페르소나 명시"
"H2H-025","H2H","직접 비교","","골반저근 EMS 자동 케겔 운동기 닥터케이 1년 썼는데 효과 잘 모르겠어. 바디닥터K으로 넘어가는 게 의미 있을까?","닥터케이 저주파 EMS 자동 케겔운동기","","상황 구체화 | v2.1: +카테고리"
"H2H-026","H2H","직접 비교","","바디닥터K이랑 닥터케이 저주파 EMS 자동 케겔운동기 6개월 이상 사용 후기는 어디가 더 신뢰돼?","닥터케이 저주파 EMS 자동 케겔운동기","","후기 기준 명시"
"H2H-027","H2H","직접 비교","","30대 직장 다니면서 퇴근 후 저녁에 1시간 정도 골반저근 EMS 케겔 운동기 쓰려면 바디닥터K이랑 닥터케이 중 뭐가 맞아?","닥터케이 저주파 EMS 자동 케겔운동기","P1","페르소나+사용 시간 | v2.1: +카테고리"
"H2H-028","H2H","직접 비교","","고장 났을 때 바디닥터K이랑 닥터케이 저주파 EMS 자동 케겔운동기 중에 A/S가 더 빠르고 확실한 곳은?","닥터케이 저주파 EMS 자동 케겔운동기","","상황 명시"
"H2H-029","H2H","직접 비교","","2-3년 장기간 꾸준히 쓸 거면 바디닥터K이랑 닥터케이 저주파 EMS 자동 케겔운동기 둘 중 뭐가 낫대?","닥터케이 저주파 EMS 자동 케겔운동기","","기간 구체화"
"H2H-030","H2H","직접 비교","","케겔 EMS 의자 처음 입문하는 30대 여성한테 바디닥터K이랑 닥터케이 저주파 EMS 자동 케겔운동기 중 뭐 추천해?","닥터케이 저주파 EMS 자동 케겔운동기","P1","페르소나 명시"
"COMP_ONLY-001","COMP_ONLY","경쟁사 대안","","이지케이 후기 봤는데 가격이 비슷한 다른 EMS 케겔 의자도 보고 싶어","이지케이 (Easy-K) 요실금치료기","","구체화+카테고리 명시"
"COMP_ONLY-002","COMP_ONLY","경쟁사 대안","","이지케이 말고 40대 산후 케어용으로 집에서 쓰기 좋은 EMS 케겔 기기 또 뭐 있어?","이지케이 (Easy-K) 요실금치료기","P2","페르소나+카테고리"
"COMP_ONLY-003","COMP_ONLY","경쟁사 대안","","요실금 EMS 의자형 기기 중에 이지케이 말고 뭐가 있어?","이지케이 (Easy-K) 요실금치료기","","카테고리 명시"
"COMP_ONLY-004","COMP_ONLY","경쟁사 대안","","이지케이 30만원대인데 비슷한 가격대 다른 케겔 EMS 의자 또 있어?","이지케이 (Easy-K) 요실금치료기","","가격대 명시"
"COMP_ONLY-005","COMP_ONLY","경쟁사 대안","","이지케이처럼 앉기만 해도 되는 비침습 케겔 의자 다른 제품 뭐야?","이지케이 (Easy-K) 요실금치료기","","카테고리 명시"
"COMP_ONLY-006","COMP_ONLY","경쟁사 대안","","이지케이 6개월 썼는데 효과 약한 것 같아. 좀 더 강한 자극의 EMS 케겔 기기 있어?","이지케이 (Easy-K) 요실금치료기","","사용 기간+조건"
"COMP_ONLY-007","COMP_ONLY","경쟁사 대안","","골반저근 EMS 의자 중에 이지케이 말고 40대 여성들한테 인기인 거 뭐야?","이지케이 (Easy-K) 요실금치료기","P2","페르소나 명시"
"COMP_ONLY-008","COMP_ONLY","경쟁사 대안","","30대인데 이지케이 대신 엉덩이 탄력까지 같이 관리할 수 있는 EMS 기기 있어?","이지케이 (Easy-K) 요실금치료기","P1","페르소나+이중 목적"
"COMP_ONLY-009","COMP_ONLY","경쟁사 대안","","이지케이처럼 앉기만 하는 EMS 의자 방식인데 뭐가 더 있어?","이지케이 (Easy-K) 요실금치료기","","카테고리 명시"
"COMP_ONLY-010","COMP_ONLY","경쟁사 대안","","이지케이 가격이 30만원대로 좀 비싼데 비슷한 효과의 EMS 케겔 기기 더 저렴하게 있어?","이지케이 (Easy-K) 요실금치료기","","가격+조건"
"COMP_ONLY-011","COMP_ONLY","경쟁사 대안","","요실금 EMS 케겔 의자 찾다가 이지케이랑 동급에서 비교할 만한 거 뭐 있어?","이지케이 (Easy-K) 요실금치료기","","카테고리 명시"
"COMP_ONLY-012","COMP_ONLY","경쟁사 대안","","골반저근 EMS 케겔 운동기 이지케이 쓰는 사람들이 갈아탈 때 대안으로 뭐를 많이 써?","이지케이 (Easy-K) 요실금치료기","","상황 명시 | v2.1: +카테고리"
"COMP_ONLY-013","COMP_ONLY","경쟁사 대안","","30대 직장인 여성인데 이지케이 외에 홈트레이닝으로 쓸 만한 골반 EMS 기기 뭐 있어?","이지케이 (Easy-K) 요실금치료기","P1","페르소나 명시"
"COMP_ONLY-014","COMP_ONLY","경쟁사 대안","","이지케이처럼 EMS 저주파 방식인 다른 케겔 의자형 제품도 있어?","이지케이 (Easy-K) 요실금치료기","","카테고리 명시"
"COMP_ONLY-015","COMP_ONLY","경쟁사 대안","","40대 산후 케어용 이지케이 30만원대 고민되는데, 비슷한 가격대 다른 EMS 케겔 의자 추천해줄래?","이지케이 (Easy-K) 요실금치료기","P2","페르소나+가격"
"COMP_ONLY-016","COMP_ONLY","경쟁사 대안","","닥터케이 저주파 EMS 자동 케겔운동기 말고 비슷한 EMS 케겔 의자 뭐 있어?","닥터케이 저주파 EMS 자동 케겔운동기","","카테고리 명시"
"COMP_ONLY-017","COMP_ONLY","경쟁사 대안","","30대 여성용으로 닥터케이 대신 살 만한 EMS 케겔 운동기 추천해줄래?","닥터케이 저주파 EMS 자동 케겔운동기","P1","페르소나 명시"
"COMP_ONLY-018","COMP_ONLY","경쟁사 대안","","닥터케이 저주파 EMS 제품 생각하고 있는데 동급 다른 브랜드 비교 가능한 거 있어?","닥터케이 저주파 EMS 자동 케겔운동기","","비교 의도 명시"
"COMP_ONLY-019","COMP_ONLY","경쟁사 대안","","닥터케이 저주파 EMS 자동 케겔운동기 1년 썼는데 효과 약해. 더 강력한 EMS 케겔 의자로 갈아탈 만한 거 뭐야?","닥터케이 저주파 EMS 자동 케겔운동기","","사용 기간+조건"
"COMP_ONLY-020","COMP_ONLY","경쟁사 대안","","닥터케이 저주파 골반저근 EMS 케겔 운동기 후기 봤는데 40대 산후 케어 기준으로 대안 뭐가 좋을까?","닥터케이 저주파 EMS 자동 케겔운동기","P2","페르소나+목적 | v2.1: +카테고리"
"COMP_ONLY-021","COMP_ONLY","경쟁사 대안","","닥터케이 말고 집에서 쓰기 좋은 EMS 케겔 의자형 기기 또 뭐 있어?","닥터케이 저주파 EMS 자동 케겔운동기","","카테고리 명시"
"COMP_ONLY-022","COMP_ONLY","경쟁사 대안","","닥터케이 저주파 EMS 자동 케겔운동기랑 효과 비슷한데 가격 더 저렴한 거 있어?","닥터케이 저주파 EMS 자동 케겔운동기","","비교 기준 명시"
"COMP_ONLY-023","COMP_ONLY","경쟁사 대안","","30대 직장인인데 골반저근 EMS 케겔 운동기 닥터케이 고민 중이야. 비슷한 가격대 다른 선택지 뭐가 있을까?","닥터케이 저주파 EMS 자동 케겔운동기","P1","페르소나+조건 | v2.1: +카테고리"
"COMP_ONLY-024","COMP_ONLY","경쟁사 대안","","닥터케이 저주파 EMS 자동 케겔운동기 말고 앉기만 해도 되는 케겔 의자 또 있나?","닥터케이 저주파 EMS 자동 케겔운동기","","카테고리 명시"
"COMP_ONLY-025","COMP_ONLY","경쟁사 대안","","40대 산후 5년차인데 닥터케이 대신 살 만한 골반저근 EMS 기기 뭐 좋을까?","닥터케이 저주파 EMS 자동 케겔운동기","P2","페르소나 명시"
"COMP_ONLY-026","COMP_ONLY","경쟁사 대안","","닥터케이 저주파 EMS 자동 케겔운동기 사려다 망설이는데, 동급 다른 케겔 의자도 봐도 될까?","닥터케이 저주파 EMS 자동 케겔운동기","","비교 의도 명시"
"COMP_ONLY-027","COMP_ONLY","경쟁사 대안","","닥터케이 같은 EMS 저주파 자동 방식 케겔 의자 다른 제품이 있나?","닥터케이 저주파 EMS 자동 케겔운동기","","카테고리 명시"
"COMP_ONLY-028","COMP_ONLY","경쟁사 대안","","60대 어머니용으로 닥터케이 저주파 EMS 자동 케겔운동기보다 사용이 더 편한 케겔 의자 있어?","닥터케이 저주파 EMS 자동 케겔운동기","P3","페르소나 명시"
"COMP_ONLY-029","COMP_ONLY","경쟁사 대안","","닥터케이 1년 사용 후 효과 부족해서 갈아탈 만한 EMS 케겔 의자를 찾고 있어","닥터케이 저주파 EMS 자동 케겔운동기","","사용 기간+상황"
"COMP_ONLY-030","COMP_ONLY","경쟁사 대안","","닥터케이 저주파 자동 케겔운동기 말고 40대 여성들 사이에서 또 인기인 EMS 케겔 의자 뭐야?","닥터케이 저주파 EMS 자동 케겔운동기","P2","페르소나 명시"
"BRAND_ONLY-001","BRAND_ONLY","브랜드 지명","","바디닥터K 살 만해? 6개월 이상 써본 사람들 실제 반응이 어때?","","","사용 기간 명시"
